Referencia;Descripción;Contenido
AZX010GTWAY;;https://doc.airzone.es/producto/actuales/Airzone/Certificados/Declaration_of_conformity_AZC3.pdf
AZXWSCLOUDETH;PASARELA COMUNICACION WEBSERVER CLOUD CONEXION ETHERNET;http://media.telematel.com/assets/airzone-pasarela-comunicacion-webserver-cloud-conexion-ethernet-azxwscloudeth-1083000035-c58a_500.jpg
AZXWSCLOUDWIFI;PASARELA COMUNICACION WEBSERVER CLOUD CONEXION WIFI;http://media.telematel.com/assets/airzone-pasarela-comunicacion-webserver-cloud-conexion-wifi-azxwscloudwifi-1083000036-6950_500.jpg
AZAMPCIIRC;PASARELA CONTROL PARA EQUIPO INDIVIDUAL IR T CABLE;http://media.telematel.com/assets/airzone-pasarela-control-para-equipo-individual-ir-t-cable-azampciirc-1083000041-2ad5_500.jpg
AZIAIR;CENTRAL SISTEMA AIRZONE INNOBUS  AIREADO;http://media.telematel.com/assets/airzone-central-sistema-airzone-innobus-aireado--aziair-1083000043-1600_500.jpg
AZIAMLZONAC;MODULO LOCAL CABLEADO ENTRADA VENTILACION;http://media.telematel.com/assets/airzone-modulo-local-cableado-entrada-ventilacion-aziamlzonac-1083000044-8e92_500.jpg
AZIABLUEFECOSB;TERMOSTATO BLUEFACE ECO INNOBUS SUPERFICIE AIR BLANCO;http://media.telematel.com/assets/airzone-termostato-blueface-eco-innobus-superficie-air-blanco--aziabluefecosb-1083000045-72ec_500.jpg
AZIABLUEFECOSG;TERMOSTATO BLUEFACE ECO INNOBUS SUPERFICIE AIR GRIS;http://media.telematel.com/assets/airzone-termostato-blueface-eco-innobus-superficie-air-gris--aziabluefecosg-1083000046-c87e_500.jpg
AZIATACTOZCSB;TERMOSTATO TACTO INNOBUS SUPERFICIE AIR CABLE BLANCO;http://media.telematel.com/assets/airzone-termostato-tacto-innobus-superficie-air-cable-blanco--aziatactozcsb-1083000047-baec_500.jpg
AZIATACTOZCSG;TERMOSTATO TACTO INNOBUS SUPERFICIE AIR CABLE GRIS;http://media.telematel.com/assets/airzone-termostato-tacto-innobus-superficie-air-cable-gris--aziatactozcsg-1083000049-9ec2_500.jpg
AZIACCV;PASARELA CONTROL EQUIPO VENTILACION INNOBUS;http://media.telematel.com/assets/airzone-pasarela-control-equipo-ventilacion-innobus-aziaccv-1083000050-eec1_500.jpg
AZIAMLZONAR;MODULO LOCAL ZONA RADIO ENTRADA VENTILACION;http://media.telematel.com/assets/airzone-modulo-local-zona-radio-entrada-ventilacion-aziamlzonar-1083000051-4e4f_500.jpg
AZIATACTORSB;TERMOSTATO TACTO INNOBUS SUPERFICIE AIR RADIO BLANCO;http://media.telematel.com/assets/airzone-termostato-tacto-innobus-superficie-air-radio-blanco--aziatactorsb-1083000052-4980_500.jpg
AZIATACTORSG;TERMOSTATO TACTO INNOBUS SUPERFICIE AIR RADIO GRIS;http://media.telematel.com/assets/airzone-termostato-tacto-innobus-superficie-air-radio-gris--aziatactorsg-1083000053-e30c_500.jpg
AZIATACTOZCEB;TERMOSTATO TACTO INNOBUS EMPOTRABLE AIR CABLE BLANCO;http://media.telematel.com/assets/airzone-termostato-tacto-innobus-empotrable-air-cable-blanco--aziatactozceb-1083000059-356a_500.jpg
AZIATACTOZCEG;TERMOSTATO TACTO INNOBUS EMPOTRABLE AIR CABLE GRIS;http://media.telematel.com/assets/airzone-termostato-tacto-innobus-empotrable-air-cable-gris--aziatactozceg-1083000060-6c4f_500.jpg
PLERPR250;Plenum difusor rotacional rectangular sin alisar;https://media.telematel.com/assets/airzone-plenum-difusor-rotacional-rectangular-sin-alisar-plerpr250-1083000417-e96c-md01_500.jpg
RL0015M015AKX;Rejilla lineal lama fijo 0° 15000x150 clip aluminio;https://media.telematel.com/assets/airzone-rejilla-lineal-lama-fijo-0-15000x150-clip-aluminio-rl0015m015akx-1083000490-49b9-md01_500.jpg
DFLI307500BPA;Difusor rejilla lineal 3 vías plenum aislado 7500mm blanco;https://media.telematel.com/assets/airzone-difusor-rejilla-lineal-3-vias-plenum-aislado-7500mm-blanco-dfli307500bpa-1083001545-8022-md01_500.jpg
AZEZ6DAIBS07XS3;Plenum motorizado EASYZONE MEDIUM DAIKIN 3x200 07XS;https://media.telematel.com/assets/airzone-plenum-motorizado-easyzone-medium-daikin-3x200-07xs-azez6daibs07xs3-1083007386-33ae-md01_500.jpg
CPRR090007MTE;Compuerta motorizada de rejilla 900x75mm;https://media.telematel.com/assets/airzone-compuerta-motorizada-de-rejilla-900x75mm-cprr090007mte-1083007449-7bfa-md01_500.jpg
PREJ020020TS;Plenum rejilla conexión conducto circular 200x200 sin aislar;https://media.telematel.com/assets/airzone-plenum-rejilla-conexion-conducto-circular-200x200-sin-aislar-prej020020ts-1083231732-bb28-md01_500.jpg
RSDR020025AKMTE;Rejilla RSDR estándar clip todo/nada 200x250 aluminio;https://media.telematel.com/assets/airzone-rejilla-rsdr-estandar-clip-todo-nada-200x250-aluminio-rsdr020025akmte-1083233033-9efa-md01_500.jpg
RSDR025030AKMTE;Rejilla RSDR estándar clip todo/nada 250x300 aluminio;https://media.telematel.com/assets/airzone-rejilla-rsdr-estandar-clip-todo-nada-250x300-aluminio-rsdr025030akmte-1083233705-490a-md01_500.jpg
