Referencia;Descripción;Contenido
VIR-P S (RTD0935);;https://www.daisalux.com/es-es/pages/productos/fichas/frefunica.aspx?DB=DaisaluxProEsMes&CodProd=158093&CodsAcaPro=12407,13514,12404,3941
VIR-T N (RTD0929,N);;https://www.daisalux.com/es-es/pages/productos/fichas/frefunica.aspx?DB=DaisaluxProEsMes&CodProd=136144&CodsAcaPro=12407,13508,12406
VIR-BD L (RTD0928,N);;https://www.daisalux.com/es-es/pages/productos/fichas/frefunica.aspx?DB=DaisaluxProEsMes&CodProd=144217&CodsAcaPro=12407,13507,12406
VIR-BD N (RTD0928);;https://www.daisalux.com/es-es/pages/productos/fichas/frefunica.aspx?DB=DaisaluxProEsMes&CodProd=144215&CodsAcaPro=12407,13507,12404
VIR-BD N (RTD0928,B);;https://www.daisalux.com/es-es/pages/productos/fichas/frefunica.aspx?DB=DaisaluxProEsMes&CodProd=144215&CodsAcaPro=12407,13507,14524
VIR-T P (RTD0929,N);;https://www.daisalux.com/es-es/pages/productos/fichas/frefunica.aspx?DB=DaisaluxProEsMes&CodProd=136140&CodsAcaPro=12407,13508,12406
VIR-S L (RTD0934,N);;https://www.daisalux.com/es-es/pages/productos/fichas/frefunica.aspx?DB=DaisaluxProEsMes&CodProd=142482&CodsAcaPro=12407,13513,12406
VIR-S P TCA (RTD0934,N);;https://www.daisalux.com/es-es/pages/productos/fichas/frefunica.aspx?DB=DaisaluxProEsMes&CodProd=213156&CodsAcaPro=12407,13513,12406
VIR-T P TCA (RTD0929,B);;https://www.daisalux.com/es-es/pages/productos/fichas/frefunica.aspx?DB=DaisaluxProEsMes&CodProd=213155&CodsAcaPro=12407,13508,14524
VIR-T P (RTD0933,B);;https://www.daisalux.com/es-es/pages/productos/fichas/frefunica.aspx?DB=DaisaluxProEsMes&CodProd=136140&CodsAcaPro=12407,13512,14524
Z LD-G L25 (RAL9006,24V);;https://www.daisalux.com/es-es/pages/productos/fichas/frefunica.aspx?DB=DaisaluxProEsMes&CodProd=343420&CodsAcaPro=2539,8766
ZLD-GL25RAL7035;PROYECTOR ZENIT PAR36 LD-G L25 GRIS INDUSTRIAL;https://media.telematel.com/assets/daisalux-proyector-zenit-par36-ld-g-l25-gris-industrial--zld-gl25ral7035-0115000012-e3d6_500.jpg
VIR-BI P (RTD0931,N);;https://www.daisalux.com/es-es/pages/productos/fichas/frefunica.aspx?DB=DaisaluxProEsMes&CodProd=136143&CodsAcaPro=12407,13510,12406
VIR-SBRTD0932B;LUMINARIA VIR-SN SUSPENDIDO RTD0932 BLANCO;https://media.telematel.com/assets/daisalux-luminaria-vir-sn-suspendido-rtd0932-blanco--vir-sbrtd0932b-0115000014-1d6b_500.jpg
VIR-S P (RTD0932,B);;https://www.daisalux.com/es-es/pages/productos/fichas/frefunica.aspx?DB=DaisaluxProEsMes&CodProd=136142&CodsAcaPro=12407,13511,14524
VIR-S P TCA (RTD0932,B);;https://www.daisalux.com/es-es/pages/productos/fichas/frefunica.aspx?DB=DaisaluxProEsMes&CodProd=213156&CodsAcaPro=12407,13511,14524
VIR-S S (RTD0932,B);;https://www.daisalux.com/es-es/pages/productos/fichas/frefunica.aspx?DB=DaisaluxProEsMes&CodProd=158095&CodsAcaPro=12407,13511,14524,3941
VIR-TBRTD0932B;LUMINARIA VIR-TN ADOSABLE TECHO RTD0932 BLANCO;https://media.telematel.com/assets/daisalux-luminaria-vir-tn-adosable-techo-rtd0932-blanco--vir-tbrtd0932b-0115000018-ea8c_500.jpg
VIR-T P (RTD0932,B);;https://www.daisalux.com/es-es/pages/productos/fichas/frefunica.aspx?DB=DaisaluxProEsMes&CodProd=136140&CodsAcaPro=12407,13511,14524
VIR-T P TCA (RTD0932,B);;https://www.daisalux.com/es-es/pages/productos/fichas/frefunica.aspx?DB=DaisaluxProEsMes&CodProd=213155&CodsAcaPro=12407,13511,14524
VIR-T S (RTD0932,B);;https://www.daisalux.com/es-es/pages/productos/fichas/frefunica.aspx?DB=DaisaluxProEsMes&CodProd=158094&CodsAcaPro=12407,13511,14524,3941
VIR-S L (RTD0933,B);;https://www.daisalux.com/es-es/pages/productos/fichas/frefunica.aspx?DB=DaisaluxProEsMes&CodProd=142482&CodsAcaPro=12407,13512,14524
VIR-SBRTD0933B;LUMINARIA VIR-SN SUSPENDIDO RTD0933 BLANCO;https://media.telematel.com/assets/daisalux-luminaria-vir-sn-suspendido-rtd0933-blanco--vir-sbrtd0933b-0115000023-9a50_500.jpg
VIR-S P (RTD0933,B);;https://www.daisalux.com/es-es/pages/productos/fichas/frefunica.aspx?DB=DaisaluxProEsMes&CodProd=136142&CodsAcaPro=12407,13512,14524
VIR-S P TCA (RTD0933,B);;https://www.daisalux.com/es-es/pages/productos/fichas/frefunica.aspx?DB=DaisaluxProEsMes&CodProd=213156&CodsAcaPro=12407,13512,14524
VIR-S S (RTD0933,B);;https://www.daisalux.com/es-es/pages/productos/fichas/frefunica.aspx?DB=DaisaluxProEsMes&CodProd=158095&CodsAcaPro=12407,13512,14524,3941
VIR-T L (RTD0933,B);;https://www.daisalux.com/es-es/pages/productos/fichas/frefunica.aspx?DB=DaisaluxProEsMes&CodProd=136147&CodsAcaPro=12407,13512,14524
VIR-TBRTD0933B;LUMINARIA VIR-TN ADOSABLE TECHO RTD0933 BLANCO;https://media.telematel.com/assets/daisalux-luminaria-vir-tn-adosable-techo-rtd0933-blanco--vir-tbrtd0933b-0115000028-092f_500.jpg
VIR-T P TCA (RTD0933,B);;https://www.daisalux.com/es-es/pages/productos/fichas/frefunica.aspx?DB=DaisaluxProEsMes&CodProd=213155&CodsAcaPro=12407,13512,14524
