Referencia;Descripción;Contenido
14353;Enganche de cadena de bolas de latón dorado 3,2mm (100u);https://media.telematel.com/assets/alfa-dyser-enganche-de-cadena-de-bolas-de-laton-dorado-3-2mm-100u-14353-1403000007-8f98-md01_500.jpg
14228;Atomizador largo sin rosca de plástico en color blanco;https://media.telematel.com/assets/alfa-dyser-atomizador-largo-sin-rosca-de-plastico-en-color-blanco-14228-1403000008-99c7-md01_500.jpg
46072;Atomizador 2485 M-H con rosca de plástico en color blanco;https://media.telematel.com/assets/alfa-dyser-atomizador-2485-m-h-con-rosca-de-plastico-en-color-blanco-46072-1403000009-1431-md01_500.jpg
49688;Mascarilla higiénica reutilizable de máxima protección talla L para hombre en color azul, gris, kaki y negro (24u en expositor);https://media.telematel.com/assets/alfa-dyser-mascar-higienica-reutil-mxa-prot-ta-l-p-hombre-color-az-gr-kaki-ng24u-expos--49688-1403000010-ed3a-md01_500.jpg
34196;Cocina de g esmaltada 3 fuegos en color blanco;https://media.telematel.com/assets/alfa-dyser-cocina-de-g-esmaltada-3-fuegos-en-color-blanco-34196-1403000011-fba2-md01_500.jpg
33706;Bascula de baño digital con medición de grasa corporal 180Kg de cristal templado en color negro;https://media.telematel.com/assets/alfa-dyser-bascula-bno-dig-med-gs-corporal-180kg-crist-templ-color-ng-33706-1403000012-206b-md01_500.jpg
44151;Kit destornillador multipuntas 23x1 (En estuche);https://media.telematel.com/assets/alfa-dyser-kit-destornillador-multipuntas-23x1-en-estuche-44151-1403000013-a14d-md01_500.jpg
47165;Broca widia carburo 4-10mm para hormigón, ladrillo, gres, azulejos y yeso (5u);https://media.telematel.com/assets/alfa-dyser-broca-widia-carburo-4-10mm-para-hormigon-ladrillo-gres-azulejos-y-yeso-5u-47165-1403000014-3e4c-md01_500.jpg
22134;Cablecillo flexible libre de halógenos 1,5mm en color marrón para instalaciones fijas y locales de pública concurrencia;https://media.telematel.com/assets/alfa-dyser-cablecillo-flex-lh-1-5mm-color-mr-p-inst-fja-locales-publica-concurrencia-22134-1403000015-e80b-md01_500.jpg
28807;Cablecillo flexible libre de halógenos 6,0mm en color tierra para instalaciones fijas y locales de pública concurrencia;https://media.telematel.com/assets/alfa-dyser-cablecillo-flex-lh-6-0mm-color-tierra-p-inst-fja-locales-publica-concurrencia-28807-1403000016-5dde-md01_500.jpg
22991;Cable alargador eléctrico M-H 3x1,5 en color blanco 2m;https://media.telematel.com/assets/alfa-dyser-cable-alargador-electrico-m-h-3x1-5-en-color-blanco-2m-22991-1403000017-d5f5-md01_500.jpg
21095;Amplificador de antena 2 salidas con regulador de ABS en color blanco;https://media.telematel.com/assets/alfa-dyser-amplificador-de-antena-2-salidas-con-regulador-de-abs-en-color-blanco-21095-1403000018-8028-md01_500.jpg
27214;Brida de nylon 2,5x200mm en color transparente (100u);https://media.telematel.com/assets/alfa-dyser-brida-de-nylon-2-5x200mm-en-color-transparente-100u-27214-1403000019-4ec1-md01_500.jpg
24796;Portalámparas rosca 4A E27 en color negro (En blíster);https://media.telematel.com/assets/alfa-dyser-portalamparas-rosca-4a-e27-en-color-negro-en-blister-24796-1403000020-cd2f-md01_500.jpg
26957;Portalámparas porcelana M10 E27 en color blanco (En blíster);https://media.telematel.com/assets/alfa-dyser-portalamparas-porcelana-m10-e27-en-color-blanco-en-blister-26957-1403000021-3b19-md01_500.jpg
24588;Portalámparas rosca 4A E27 en color blanco (En blíster);https://media.telematel.com/assets/alfa-dyser-portalamparas-rosca-4a-e27-en-color-blanco-en-blister-24588-1403000022-9ee3-md01_500.jpg
27360;Portalámparas porcelana lateral E27 en color blanco (En blíster);https://media.telematel.com/assets/alfa-dyser-portalamparas-porcelana-lateral-e27-en-color-blanco-en-blister-27360-1403000023-1a93-md01_500.jpg
